2024-08-30 23:36:22,556 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-08-30 23:36:22,557 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Configure stats pid to 14208
2024-08-30 23:36:22,557 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Loading settings from C:\Users\LimJaesung\.config\wandb\settings
2024-08-30 23:36:22,557 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Loading settings from c:\Users\LimJaesung\Documents\Git\VAE\convVAE\wandb\settings
2024-08-30 23:36:22,557 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-08-30 23:36:22,557 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-08-30 23:36:22,558 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'convVAE\\inference.py', 'program_abspath': 'c:\\Users\\LimJaesung\\Documents\\Git\\VAE\\convVAE\\inference.py', 'program': 'c:\\Users\\LimJaesung\\Documents\\Git\\VAE\\convVAE\\inference.py'}
2024-08-30 23:36:22,558 INFO    MainThread:14208 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-08-30 23:36:22,559 INFO    MainThread:14208 [wandb_init.py:_log_setup():524] Logging user logs to c:\Users\LimJaesung\Documents\Git\VAE\convVAE\wandb\run-20240830_233622-pyf9jil7\logs\debug.log
2024-08-30 23:36:22,559 INFO    MainThread:14208 [wandb_init.py:_log_setup():525] Logging internal logs to c:\Users\LimJaesung\Documents\Git\VAE\convVAE\wandb\run-20240830_233622-pyf9jil7\logs\debug-internal.log
2024-08-30 23:36:22,559 INFO    MainThread:14208 [wandb_init.py:_jupyter_setup():470] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001485EC3CE50>
2024-08-30 23:36:22,560 INFO    MainThread:14208 [wandb_init.py:init():607] calling init triggers
2024-08-30 23:36:22,560 INFO    MainThread:14208 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-30 23:36:22,560 INFO    MainThread:14208 [wandb_init.py:init():657] starting backend
2024-08-30 23:36:22,560 INFO    MainThread:14208 [wandb_init.py:init():661] setting up manager
2024-08-30 23:36:22,564 INFO    MainThread:14208 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-08-30 23:36:22,567 INFO    MainThread:14208 [wandb_init.py:init():669] backend started and connected
2024-08-30 23:36:22,577 INFO    MainThread:14208 [wandb_run.py:_label_probe_notebook():1344] probe notebook
2024-08-30 23:36:22,577 INFO    MainThread:14208 [wandb_run.py:_label_probe_notebook():1354] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-08-30 23:36:22,577 INFO    MainThread:14208 [wandb_init.py:init():767] updated telemetry
2024-08-30 23:36:22,631 INFO    MainThread:14208 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-08-30 23:36:23,175 INFO    MainThread:14208 [wandb_init.py:init():851] starting run threads in backend
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_run.py:_console_start():2463] atexit reg
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_run.py:_redirect():2399] Redirects installed.
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_init.py:init():894] run started, returning control to user process
2024-08-30 23:36:23,609 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:23,609 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:23,640 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:23,641 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:23,642 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:23,679 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:23,679 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:23,679 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:23,706 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:23,707 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:23,707 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:25,616 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:25,626 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:25,626 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:25,992 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:25,992 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:25,992 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:26,385 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:26,387 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:26,387 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:26,573 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:28,672 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:28,672 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:28,695 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:28,735 INFO    MainThread:14208 [wandb_run.py:_config_callback():1392] config_cb None None {'ver': 0, 'dataset': 'MNIST', 'latent_dim': 128, 'lr': 0.005, 'seed': 0, 'epochs': 100, 'batch_size': 64, 'hidden_dim': [32, 64, 128], 'kld_weight': 0.00025, 'weight_decay': 0.0, 'scheduler_gamma': 0.95, 'cuda': True}
2024-08-30 23:36:28,735 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:28,735 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:28,750 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:29,066 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:29,066 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:29,081 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:30,238 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:30,238 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:30,276 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:30,278 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:30,278 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:31,109 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:32,272 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:32,272 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:36,830 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:36,830 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:36,830 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:37,342 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:37,342 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:37,342 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:53,695 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:53,695 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:53,695 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:55,558 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:36:55,559 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:36:55,559 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:36:59,266 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:37:00,559 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:37:00,559 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:37:08,097 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:37:08,112 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:37:08,112 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:37:10,269 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:37:10,273 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:37:10,273 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:37:12,738 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:37:13,121 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-30 23:37:13,121 INFO    MainThread:14208 [wandb_init.py:_pause_backend():435] pausing backend
2024-08-30 23:37:19,023 INFO    MainThread:14208 [wandb_init.py:_resume_backend():440] resuming backend
2024-08-30 23:37:19,105 INFO    MainThread:14208 [jupyter.py:save_ipynb():372] not saving jupyter notebook
